hhid,sectionb3,sectionb4,sectionb5,sectionb6,sectionb7,sectionb8,sectionb9,sectionb10,sectionb11,sectionb12,sectionb13,sectionb14,sectionb15
170,lem-teuf,2,1.5,kert,.375,0,,,,4,4.5,kert,1.125
170,teuf(infertile),0,,,,0,,,,0,,,
171,lem (fertile),1,1,kert,.25,0,,,,3,3,kert,.75
171,lem-teuf,1,1,kert,.25,0,,,,1,2,kert,.5
171,teuf(infertile),0,,,,0,,,,0,,,
172,lem (fertile),1,1,kert,.25,0,,,,0,,,
172,lem-teuf,0,,,,0,,,,2,3,kert,.75
172,teuf(infertile),0,,,,0,,,,0,,,
173,lem (fertile),2,1.5,kert,.375,0,,,,0,,,
173,lem-teuf,0,,,,0,,,,6,8,kert,2
173,teuf(infertile),0,,,,0,,,,0,,,
174,lem (fertile),0,,,,0,,,,0,,,
174,lem-teuf,1,1,kert,.25,0,,,,4,8,kert,2
174,teuf(infertile),0,,,,0,,,,0,,,
175,lem (fertile),7,14,kert,3.5,0,,,,2,4,kert,1
175,lem-teuf,0,,,,0,,,,0,,,
175,teuf(infertile),0,,,,0,,,,0,,,
176,lem (fertile),2,3.5,kert,.875,0,,,,0,,,
176,lem-teuf,1,4,kert,1,0,,,,0,,,
176,teuf(infertile),0,,,,0,,,,0,,,
177,lem (fertile),0,,,,0,,,,3,7.5,kert,1.875
177,lem-teuf,1,1.5,kert,.375,0,,,,2,3.5,kert,.875
177,teuf(infertile),0,,,,0,,,,0,,,
178,lem (fertile),1,44,kert,11,0,,,,1,8,kert,2
178,lem-teuf,0,,,,0,,,,0,,,
178,teuf(infertile),0,,,,0,,,,0,,,
179,lem (fertile),0,,,,0,,,,2,2.5,kert,.625
179,lem-teuf,0,,,,0,,,,3,4.5,kert,1.125
179,teuf(infertile),0,,,,0,,,,0,,,
180,lem (fertile),2,6,kert,1.5,0,,0,,0,,,
180,lem-teuf,1,1,kert,.25,0,,,,2,3,kert,.75
180,teuf(infertile),1,.5,kert,.125,0,,,,0,,,
182,lem (fertile),0,,,,0,,,,2,3,kert,.75
182,lem-teuf,1,3,kert,.75,0,,,,4,4.5,kert,1.125
182,teuf(infertile),0,,,,0,,,,0,,,
183,lem (fertile),3,6,kert,1.5,0,,,,0,,,
183,lem-teuf,4,3,kert,.75,0,,,,0,,,
183,teuf(infertile),1,1,kert,.25,0,,,,0,,,
184,lem (fertile),3,3.5,kert,.875,0,,,,0,,,
184,lem-teuf,3,2.5,kert,.625,0,,,,3,1.5,kert,37
184,teuf(infertile),1,.5,kert,.125,0,,,,0,,,
185,lem (fertile),0,,,,0,,,,2,35,kert,8.75
185,lem-teuf,0,,,,0,,,,0,,,
185,teuf(infertile),0,,,,0,,,,0,,,
186,lem (fertile),3,2,kert,.5,0,,,,1,2,kert,.5
186,lem-teuf,1,.5,kert,.125,0,,,,0,,,
186,teuf(infertile),0,,,,0,,,,0,,,
187,lem (fertile),2,3,kert,.75,0,,,,0,,,
187,lem-teuf,0,,,,0,,,,0,,,
187,teuf(infertile),2,3,kert,.75,0,,,,0,,,
188,lem (fertile),2,23,kert,5.75,0,,,,0,,,
188,lem-teuf,0,,,,0,,,,0,,,
188,teuf(infertile),0,,,,0,,,,0,,,
189,lem (fertile),1,2,kert,.5,0,,,,0,,,
189,lem-teuf,3,8,kert,2,0,,,,0,,,
189,teuf(infertile),2,1,kert,.25,,,,,,,,
190,lem (fertile),0,,,,0,,,,0,,,
190,lem-teuf,1,1,kert,.25,0,,,,2,2.5,kert,.625
190,teuf(infertile),0,,,,0,,,,0,,,
191,lem (fertile),3,4.5,kert,1.125,0,,,,0,,,
191,lem-teuf,0,,,,0,,,,0,,,
191,teuf(infertile),1,1,kert,.25,0,,,,0,,,
192,lem (fertile),1,1,kert,.25,0,,,,0,,,
192,lem-teuf,0,,,,0,,,,1,1,kert,.25
192,teuf(infertile),2,1.5,kert,.375,0,,,,2,2,kert,.5
193,lem (fertile),4,9,kert,2.25,0,,,,0,,,
193,lem-teuf,0,,,,0,,,,0,,,
193,teuf(infertile),1,3,kert,.75,0,,,,0,,,
194,lem (fertile),2,6,kert,1.5,0,,,,0,,,
194,lem-teuf,3,2.5,kert,.625,0,,,,1,1,kert,.25
194,teuf(infertile),1,.5,kert,.125,0,,,,0,,,
195,lem (fertile),4,9,kert,2.25,0,,,,0,,,
195,lem-teuf,1,1,kert,.25,0,,,,0,,,
195,teuf(infertile),1,1,kert,.25,0,,,,0,,,
196,lem (fertile),4,5.5,kert,1.375,0,,,,2,3,kert,.75
196,lem-teuf,1,4,kert,1,0,,,,0,,,
196,teuf(infertile),0,,,,0,,,,0,,,
197,lem (fertile),3,5.5,kert,1.375,0,,,,0,,,
197,lem-teuf,2,2,kert,.5,0,,,,0,,,
197,teuf(infertile),0,,,,0,,,,0,,,
198,lem (fertile),2,5,kert,1.25,0,,,,3,8,kert,2
198,lem-teuf,0,,,,0,,,,1,4,kert,1
198,teuf(infertile),0,,,,0,,,,0,,,
199,lem (fertile),1,1,kert,.25,0,,,,3,9,kert,2.25
199,lem-teuf,0,,,,0,,,,1,1,kert,.25
199,teuf(infertile),0,,,,0,,,,0,,,
200,lem (fertile),4,11,kert,2.75,0,,,,1,4,kert,1
200,lem-teuf,0,,,,0,,,,1,4,kert,1
200,teuf(infertile),1,1,kert,.25,0,,,,0,,,
201,lem (fertile),0,,,,0,,,,0,,,
201,lem-teuf,0,,,,0,,,,0,,,
201,teuf(infertile),1,12,kert,3,0,,,,0,,,
202,lem (fertile),2,3.5,kert,.875,0,,,,0,,,
202,lem-teuf,0,,,,0,,,,1,4,kert,1
202,teuf(infertile),0,,,,0,,,,0,,,
203,lem (fertile),3,5,kert,1.25,0,,,,1,6,kert,1.5
203,lem-teuf,1,1,kert,.25,0,,,,2,2,kert,.5
203,teuf(infertile),1,1,kert,.25,0,,,,0,,,
204,lem (fertile),3,6,kert,1.5,0,,,,0,,,
204,lem-teuf,2,5,kert,1.25,0,,,,0,,,
204,teuf(infertile),0,,,,0,,,,0,,,
205,lem (fertile),6,25,kert,6.25,0,,,,0,,,
205,lem-teuf,1,3,kert,.75,0,,,,0,,,
205,teuf(infertile),1,1.5,kert,.375,0,,,,0,,,
206,lem (fertile),1,2,kert,.5,0,,,,0,,,
206,lem-teuf,0,,,,0,,,,0,,,
206,teuf(infertile),0,,,,0,,,,1,1,kert,.25
207,lem (fertile),2,5,kert,1.25,0,,,,0,,,
207,lem-teuf,1,1,kert,.25,0,,,,0,,,
207,teuf(infertile),0,,,,0,,,,0,,,
208,lem (fertile),3,6,kert,1.5,0,,,,0,,,
208,lem-teuf,0,,,,0,,,,0,,,
208,teuf(infertile),1,2,kert,.5,0,,,,0,,,
209,lem (fertile),4,4,kert,1,0,,,,0,,,
209,lem-teuf,1,1,kert,.25,0,,,,0,,,
209,teuf(infertile),0,,,,0,,,,0,,,
210,lem (fertile),1,2,kert,.5,2,3,kert,.75,0,,,
210,lem-teuf,3,2.5,kert,.625,1,.5,kert,.125,0,,,
210,teuf(infertile),0,,,,0,,,,0,,,
211,lem (fertile),1,1,kert,.25,0,,,,0,,,
211,lem-teuf,1,.5,kert,.125,0,,,,0,,,
211,teuf(infertile),1,1,kert,.25,0,,,,0,,,
212,lem (fertile),0,,,,0,,,,0,,,
212,lem-teuf,4,13,kert,3.25,0,,,,4,12,kert,3
212,teuf(infertile),0,,,,0,,,,0,,,
213,lem (fertile),0,,,,0,,,,0,,,
213,lem-teuf,4,5.25,kert,1.3125,0,,,,0,,,
213,teuf(infertile),1,2,kert,.5,0,,,,0,,,
214,lem (fertile),2,3,kert,.75,0,,,,0,,,
214,lem-teuf,2,3,kert,.75,0,,,,0,,,
214,teuf(infertile),2,1.5,kert,.375,0,,,,0,,,
215,lem (fertile),0,,,,0,,,,0,,,
215,lem-teuf,0,,,,0,,,,3,5,kert,1.25
215,teuf(infertile),1,1,kert,.25,0,,,,0,,,
216,lem (fertile),1,3,kert,.75,0,,,,0,,,
216,lem-teuf,2,3,kert,.75,0,,,,0,,,
216,teuf(infertile),1,1,kert,.25,0,,,,0,,,
217,lem (fertile),4,10.5,kert,2.625,0,,,,0,,,
217,lem-teuf,0,,,,0,,,,0,,,
217,teuf(infertile),0,,,,0,,,,0,,,
218,lem (fertile),2,2,kert,.5,0,,,,0,,,
218,lem-teuf,0,,,,0,,,,1,1,kert,.25
218,teuf(infertile),0,,,,0,,,,0,,,
219,lem (fertile),2,5,kert,1.25,0,,,,0,,,
219,lem-teuf,4,9,kert,2.25,0,,,,3,5,kert,1.25
219,teuf(infertile),0,,,,0,,,,0,,,
220,lem (fertile),5,8.25,kert,2.0625,0,,,,0,,,
220,lem-teuf,0,,,,0,,,,0,,,
220,teuf(infertile),0,,,,0,,,,0,,,
221,lem (fertile),2,1,hectare,1,0,,,,0,,,
221,lem-teuf,5,1.75,hectare,1.75,0,,,,0,,,
221,teuf(infertile),1,.5,hectare,.5,0,,,,1,.5,hectare,.5
222,lem (fertile),3,6.5,kert,1.625,0,,,,0,,,
222,lem-teuf,2,3,kert,.75,0,,,,0,,,
222,teuf(infertile),0,,,,0,,,,0,,,
223,lem (fertile),1,5,kert,1.25,0,,,,0,,,
223,lem-teuf,0,,,,0,,,,0,,,
223,teuf(infertile),0,,,,0,,,,0,,,
224,lem (fertile),3,5.5,kert,1.375,0,,,,0,,,
224,lem-teuf,5,5.75,kert,1.4375,0,,,,0,,,
224,teuf(infertile),0,,,,0,,,,0,,,
